Nothing implemented there yet!	这里还没有实现任何内容！
Remeber size and position of the window when closing SatDump. It will open in the same configuration on next launch	关闭 SatDump 时记住窗口大小和位置，下次启动时恢复。
Advanced Mode	高级模式
Allows full editing of all SatDump options. Be warned: invalid configurations\nmay result in crashes, corruption of data, and more. Use at your own risk!	允许完整编辑 SatDump 的所有选项。注意：错误配置可能导致崩溃、数据损坏等问题，请自行承担风险。
Recorder: Time for disk space warning (in seconds)	录制器：磁盘空间警告时间（秒）
Defines the time when should the user be warned about not enough disk space.\nSet to 0 to disable	定义剩余磁盘空间不足时的警告阈值时间。\n设为 0 可禁用。
Log Level	日志级别
The logger level of SatDump in the console.\nEg, if you wish to only show errors\nor every little thing that's going on	SatDump 控制台日志级别。\n例如只显示错误，或显示所有详细信息。
Save log file	保存日志文件
Save ALL SatDump logs to a file.\nThis is useful to send in\nbug reports and such.	将 SatDump 的全部日志保存到文件。\n这对提交 bug 报告很有帮助。
Product Image Format	产品图像格式
Processed Image Format	处理后图像格式
Automatically Process Products	自动处理产品
Process products once the pipeline is done.	流水线完成后自动处理产品。
QTH Latitude	QTH 纬度
Latitude of your station's QTH (North is positive; South is negative)	你的台站 QTH 纬度（北纬为正，南纬为负）。
QTH Longitude	QTH 经度
Longitude of your station's QTH (East is positive; West is negative)	你的台站 QTH 经度（东经为正，西经为负）。
QTH Altitude	QTH 海拔
Altitude (meters above sea level) of your station's QTH	你的台站 QTH 海拔（米，基于海平面）。
Default QTH Label	默认 QTH 标签
Default map label for QTH marker	地图上 QTH 标记的默认标签。
Default Borders Color	默认边界颜色
Default map borders color	地图边界的默认颜色。
Default Shores Color	默认海岸线颜色
Default map shores color	地图海岸线的默认颜色。
Default Cities Color	默认城市颜色
Default map cities color	地图城市标记的默认颜色。
Default QTH Color	默认 QTH 颜色
Default map QTH color	地图 QTH 标记的默认颜色。
Default Lat/Lon Color	默认经纬网颜色
Default map latlon grid overlay color	地图经纬网叠加层的默认颜色。
TLE Auto Update Interval	TLE 自动更新间隔
4 hours	4 小时
1 day	1 天
3 days	3 天
7 days	7 天
14 days	14 天
Frequency to update TLEs. Auto update happens at launch only\n\nWarning: The older your TLEs, the more inaccurate projections\nmay be.	TLE 的更新频率。自动更新只会在启动时执行。\n\n警告：TLE 越旧，投影结果可能越不准确。
Space-Track Login (Optional)	Space-Track 登录名（可选）
Optional, Space-Track account for historical TLEs	可选，用于获取历史 TLE 的 Space-Track 账号。
Space-Track Password (Optional)	Space-Track 密码（可选）
Optional, Space-Track password for historical TLEs	可选，用于获取历史 TLE 的 Space-Track 密码。
Baseband Recorder directory	基带录制目录
Path to a folder where I/Q recordings will be saved	I/Q 录音保存目录。
Live Processing Output Autogeneration	实时处理输出自动生成
Should live processing automatically generate an output folder?	实时处理是否自动生成输出文件夹？
Live Processing Directory	实时处理目录
Path to the default folder to use to store live processing\nOnly valid when automatic generation is enabled!	实时处理默认输出目录。\n仅在启用自动生成时生效！
Default Input Directory	默认输入目录
Path to the default folder to open when selecting an input file in offline processing.	离线处理选择输入文件时默认打开的目录。
Default Output Directory	默认输出目录
Path to the default folder to open when selecting an output directory in offline processing.	离线处理选择输出目录时默认打开的目录。
Default Img Output Directory	默认图像输出目录
Path to the default folder to open when saving an image in the viewer.	查看器保存图像时默认打开的目录。
Default Proj Output Directory	默认投影输出目录
Path to the default folder to open when saving a projection in the viewer.	查看器保存投影图像时默认打开的目录。
Image Filename Template	图像文件名模板
Detailed	详细
Compact Detailed	紧凑详细
Satellite and Time	卫星与时间
Template used when saving images in the viewer. Variables available:\n - $y - year\n - $M - month\n - $d - day\n - $h - hour\n - $m - minute\n - $s - second\n - $t - unix timestamp\n - $c - composite/channel name\n - $C - composite/channel name (caps)\n - $a - composite/channel name (abbreviated)\n - $i - instrument name\n - $I - instrument name (caps)\n - $o - satellite/object\n - $O - satellite/object (caps)	查看器保存图像时使用的文件名模板。可用变量：\n - $y - 年\n - $M - 月\n - $d - 日\n - $h - 时\n - $m - 分\n - $s - 秒\n - $t - Unix 时间戳\n - $c - 合成图/通道名称\n - $C - 合成图/通道名称（大写）\n - $a - 合成图/通道名称（缩写）\n - $i - 仪器名称\n - $I - 仪器名称（大写）\n - $o - 卫星/对象\n - $O - 卫星/对象（大写）
trace	跟踪
debug	调试
info	信息
warn	警告
error	错误
critical	严重
PNG Image (*.png)	PNG 图像 (*.png)
TIFF Image (*.tif, *.tiff)	TIFF 图像 (*.tif, *.tiff)
JPEG 2000 Image (*.j2k)	JPEG 2000 图像 (*.j2k)
JPEG Image (*.jpg, *.jpeg)	JPEG 图像 (*.jpg, *.jpeg)
PBM Image (*.pbm, *.pgm)	PBM 图像 (*.pbm, *.pgm)
Quite OK Image (*.qoi)	QOI 图像 (*.qoi)
