# Additional Simplified Chinese translations for current (2.x) UI strings.
# Same TSV format as zh_dict.tsv (backslash-escaped \n / \t / \\ supported).
# Merged on top of zh_dict.tsv by tools/gen_zh_i18n.py (last wins).
Welcome to SatTool!	欢迎使用 SatTool！
DSP Buffer size was changed to %d	DSP 缓冲区大小已改为 %d
EUMETSAT User «Consumer Key»	EUMETSAT 用户 Consumer Key
EUMETSAT User «Consumer Secret»	EUMETSAT 用户 Consumer Secret
Error loading SatTool config! SatTool will now exit. Error:\n%s	加载 SatTool 配置失败，程序将退出。错误：\n%s
FFT	FFT
Fill	填充
Green	绿色
LUT	查找表
Lat : %f	纬度：%f
Lat : Invalid!	纬度无效！
Lon : %f	经度：%f
Lon : Invalid!	经度无效！
Magenta	品红色
No valid converter for : 	没有可用的转换器：
Output image : 	输出图像：
Overlap	重叠
Paste & Load	粘贴并加载
QTH	地面站位置
Raw %d : %d F %f	原始 %d：%d F %f
Raw : %d	原始：%d
Red	红色
Rotate 0	旋转 0 度
Rotate 90	旋转 90 度
Rotate 180	旋转 180 度
Rotate 270	旋转 270 度
SatTool	SatTool
SatTool has NOT been built in Release mode.	SatTool 未以 Release 模式构建。
Size : %d	大小：%d
Yellow	黄色
   Search pipelines	搜索流水线
ﱮ Open##filepathselectionbutton	打开##filepathselectionbutton
